MAIN_ID,ra,dec
318,15:41:47.62,-52:47:31.15
167,15:42:10.98,-52:51:04.77
88,15:42:30.83,-52:51:10.08
76,15:42:34.44,-52:45:20.54
368,15:41:38.98,-52:46:15.39
214,15:42:03.36,-52:54:10.02
211,15:42:03.37,-52:54:10.01
41,15:42:43.88,-52:44:17.85
333,15:41:44.93,-52:49:23.92
107,15:42:26.30,-52:51:01.75
234,15:41:59.36,-52:49:54.37
89,15:42:30.20,-52:45:01.73
364,15:41:40.02,-52:52:01.97
21,15:42:48.13,-52:45:25.15
251,15:41:57.37,-52:48:06.74
246,15:41:58.11,-52:49:12.63
282,15:41:52.87,-52:50:42.77
153,15:42:14.02,-52:53:43.29
152,15:42:14.21,-52:53:44.19
353,15:41:41.79,-52:47:39.12
132,15:42:20.55,-52:51:52.37
352,15:41:41.84,-52:49:44.57
346,15:41:43.38,-52:53:30.36
113,15:42:24.90,-52:43:45.45
120,15:42:23.87,-52:53:53.08
327,15:41:45.87,-52:49:12.92
143,15:42:18.22,-52:44:58.81
286,15:41:51.71,-52:46:42.58
266,15:41:55.64,-52:49:04.47
103,15:42:26.96,-52:43:41.76
306,15:41:48.78,-52:48:58.58
317,15:41:48.31,-52:50:42.31
310,15:41:48.31,-52:50:42.08
209,15:42:03.67,-52:49:55.28
260,15:41:56.15,-52:46:40.87
59,15:42:39.71,-52:54:11.41
294,15:41:51.17,-52:54:19.81
198,15:42:04.80,-52:48:34.80
226,15:41:59.92,-52:44:14.19
187,15:42:06.47,-52:53:41.43
331,15:41:45.08,-52:54:38.29
329,15:41:45.10,-52:54:38.29
70,15:42:36.78,-52:45:58.08
71,15:42:36.78,-52:45:58.08
54,15:42:41.93,-52:49:50.77
357,15:41:41.18,-52:50:53.20
93,15:42:29.37,-52:53:28.23
314,15:41:47.91,-52:46:20.26
123,15:42:23.49,-52:53:30.86
104,15:42:26.90,-52:46:43.71
340,15:41:44.41,-52:51:04.35
238,15:41:59.19,-52:54:00.25
111,15:42:25.49,-52:54:03.91
3,15:42:52.25,-52:45:18.47
174,15:42:09.98,-52:45:18.71
369,15:41:39.13,-52:52:30.20
140,15:42:19.02,-52:51:03.67
184,15:42:06.59,-52:49:06.83
299,15:41:50.51,-52:51:37.07
118,15:42:24.00,-52:45:34.62
159,15:42:11.80,-52:44:35.68
73,15:42:35.01,-52:45:40.43
124,15:42:22.77,-52:45:55.98
161,15:42:11.78,-52:54:31.61
280,15:41:53.07,-52:46:31.77
255,15:41:56.79,-52:52:38.56
6,15:42:51.59,-52:43:59.91
215,15:42:02.94,-52:48:51.02
213,15:42:03.37,-52:54:40.11
171,15:42:10.93,-52:52:17.83
