Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
2,15:41:56.79 -52:52:38.56,1.292,15 41 56.8716643088,-52 52 37.344276187,0.8729,0.7211,19.9103,0.0059
3,15:41:56.79 -52:52:38.56,1.821,15 41 56.6593427706,-52 52 39.848118514,1.8353,1.6994,20.7017,0.0101
1,15:42:35.29 -52:52:42.42,1.049,15 42 35.3739816639,-52 52 43.144666478,0.36,0.0787,16.5468,0.0007
1,15:42:23.49 -52:53:30.86,1.3,15 42 23.6378658465,-52 53 30.728125923,0.4148,0.0422,14.7633,0.0003
1,15:42:48.13 -52:45:25.15,0.847,15 42 48.2289948887,-52 45 25.238492344,0.4657,0.0734,16.6394,0.0007
1,15:42:26.30 -52:51:01.75,0.819,15 42 26.3832532116,-52 51 01.917763628,0.477,0.0958,16.0258,0.0009
1,15:41:49.14 -52:47:34.93,0.81,15 41 49.2329719818,-52 47 34.906906568,0.2502,0.0903,14.9104,0.0007
1,15:41:41.18 -52:50:53.20,1.221,15 41 41.2929475137,-52 50 53.922072039,0.4187,0.0369,14.6523,0.0004
1,15:41:54.97 -52:53:34.78,0.551,15 41 55.0312623930,-52 53 34.909459029,0.0456,0.1167,17.1089,0.0009
1,15:42:25.55 -52:52:13.09,0.726,15 42 25.6329597376,-52 52 13.208266907,0.186,0.0972,17.1437,0.001
1,15:42:03.67 -52:49:55.28,1.255,15 42 03.7995355222,-52 49 55.830872740,0.4367,0.1384,16.9399,0.001
1,15:42:50.04 -52:53:35.86,1.051,15 42 50.1379385527,-52 53 36.464770049,0.0978,0.1263,13.2068,0.001
1,15:41:44.41 -52:51:04.35,0.704,15 41 44.4823838268,-52 51 04.651045758,0.4083,0.0552,16.2571,0.0006
1,15:42:26.19 -52:49:39.26,1.149,15 42 26.3164125111,-52 49 39.540926461,0.2595,0.1069,16.2132,0.0009
1,15:41:39.61 -52:50:32.72,0.662,15 41 39.6848558541,-52 50 32.476156735,0.537,0.1119,17.6934,0.0011
1,15:42:10.93 -52:52:17.83,1.185,15 42 10.8119601310,-52 52 17.474010130,0.3709,0.0651,15.5833,0.0006
1,15:42:03.20 -52:48:42.83,0.731,15 42 03.2834074376,-52 48 43.056955149,0.27,0.1475,17.7332,0.0012
1,15:42:11.78 -52:54:31.61,1.229,15 42 11.9077161970,-52 54 32.094668406,0.3882,0.0883,17.1434,0.0008
1,15:42:22.81 -52:52:39.24,1.131,15 42 22.9536512224,-52 52 39.325715163,0.5999,0.0516,15.9815,0.0006
1,15:42:10.13 -52:44:58.96,1.129,15 42 10.2618463419,-52 44 58.819230513,0.1641,0.0805,15.2419,0.0005
1,15:42:06.63 -52:51:27.55,0.99,15 42 06.7471836093,-52 51 27.442282169,0.5598,0.0529,16.0294,0.0006
1,15:42:11.80 -52:44:35.68,0.895,15 42 11.8975855878,-52 44 35.929413704,0.3913,0.0651,15.7432,0.0006
1,15:41:44.65 -52:46:05.43,0.963,15 41 44.7387059579,-52 46 05.952145005,0.7347,0.2127,18.5834,0.002
1,15:41:58.44 -52:47:32.13,1.149,15 41 58.4158136472,-52 47 33.209043776,0.2555,0.1668,18.1321,0.0016
2,15:41:58.44 -52:47:32.13,1.319,15 41 58.5865531492,-52 47 31.705503681,0.278,0.1058,17.1684,0.0008
1,15:42:44.80 -52:54:19.69,0.504,15 42 44.8184079708,-52 54 19.155336670,0.3334,0.2317,18.3995,0.0024
2,15:42:44.80 -52:54:19.69,1.584,15 42 44.9693187335,-52 54 20.212555050,0.2033,0.1272,17.494,0.0067
1,15:41:41.21 -52:45:24.47,0.795,15 41 41.2931621886,-52 45 24.803336359,0.2585,0.0907,15.008,0.0005
1,15:42:41.93 -52:49:50.77,1.018,15 42 42.0501361971,-52 49 50.669393036,0.4196,0.078,16.6121,0.0008
1,15:42:49.33 -52:45:04.59,1.394,15 42 49.4885973267,-52 45 04.192999015,0.7548,0.0329,14.7122,0.0003
1,15:42:14.02 -52:53:43.29,0.668,15 42 14.0839183844,-52 53 42.799196625,0.4585,0.0629,15.9789,0.0006
1,15:42:38.62 -52:53:54.19,1.443,15 42 38.7807880306,-52 53 54.407377164,0.5937,0.1401,17.8471,0.0012
2,15:42:38.62 -52:53:54.19,1.815,15 42 38.7329724506,-52 53 55.672314761,-0.2159,0.3354,19.0404,0.0032
1,15:42:10.98 -52:52:18.38,1.774,15 42 11.1852377158,-52 52 18.617636919,0.3653,0.0566,15.3253,0.0005
2,15:42:10.98 -52:52:18.38,1.813,15 42 10.8119601310,-52 52 17.474010130,0.3709,0.0651,15.5833,0.0006
