Full,Ra dec,_r,_RAJ2000,_DEJ2000,Plx,e_,Gmag,e_
,,arcsec,"""h:m:s""","""d:m:s""",mas,mas,mag,mag
1,15:42:46.30 -52:49:08.51,0.864,15 42 46.3901327147,-52 49 08.530551577,0.3668,0.1556,17.8318,0.0013
1,15:41:59.36 -52:49:54.37,1.234,15 41 59.4912283076,-52 49 54.792216836,0.4768,0.0462,15.8977,0.0005
1,15:42:19.13 -52:45:03.91,1.022,15 42 19.2510100555,-52 45 03.839463934,0.5029,0.046,15.7336,0.0005
1,15:42:00.42 -52:49:30.95,1.274,15 42 00.5637576863,-52 49 31.216213877,0.7356,0.0896,17.2181,0.001
2,15:42:00.42 -52:49:30.95,1.939,15 42 00.4850028687,-52 49 28.995442107,0.6099,0.2166,18.618,0.0022
1,15:42:04.80 -52:48:34.80,1.172,15 42 04.9268882494,-52 48 35.055939591,0.4309,0.0726,16.8173,0.0008
1,15:41:44.60 -52:53:07.69,0.103,15 41 44.6382596607,-52 53 07.648271452,0.6155,0.0566,16.3397,0.0007
1,15:41:56.75 -52:49:59.02,0.748,15 41 56.8188523370,-52 49 59.469683404,0.5243,0.0391,15.3522,0.0004
1,15:42:33.92 -52:49:03.30,0.357,15 42 33.9638335776,-52 49 03.310252469,0.5838,0.0768,11.4891,0.0014
1,15:42:52.15 -52:49:48.77,1.605,15 42 52.3097776139,-52 49 49.341652196,0.5555,0.0293,14.3527,0.0003
1,15:41:50.59 -52:51:05.96,0.867,15 41 50.6773656493,-52 51 06.426241036,0.2997,0.0933,15.2746,0.0007
1,15:42:34.88 -52:47:33.41,0.877,15 42 34.9762600746,-52 47 33.462568972,0.5873,0.0656,16.4444,0.0007
1,15:41:59.81 -52:48:45.09,1.16,15 41 59.9365919137,-52 48 45.200096512,0.891,0.0707,16.6902,0.0007
1,15:42:28.97 -52:46:11.55,1.126,15 42 29.0898291581,-52 46 11.826339203,0.6711,0.0831,16.7767,0.0007
1,15:42:39.01 -52:49:57.18,1.08,15 42 39.1300291095,-52 49 57.293703343,0.6124,0.0479,15.351,0.0005
1,15:42:38.98 -52:50:37.33,1.141,15 42 39.1106875530,-52 50 37.128149360,0.5163,0.0603,15.2374,0.0005
2,15:42:38.98 -52:50:37.33,1.571,15 42 38.9784969375,-52 50 38.859576697,0.1542,0.3276,18.6356,0.0031
1,15:41:59.26 -52:48:36.96,0.925,15 41 59.3667651903,-52 48 37.002992873,0.5985,0.0255,14.0277,0.0002
1,15:41:59.26 -52:48:36.96,0.925,15 41 59.3667651903,-52 48 37.002992873,0.5985,0.0255,14.0277,0.0002
1,15:42:26.96 -52:43:41.76,0.855,15 42 27.0425418156,-52 43 42.163851035,0.4442,0.0337,12.9922,0.0004
1,15:42:44.18 -52:52:42.73,0.287,15 42 44.2078161684,-52 52 42.879263967,0.3572,0.15,17.3993,0.0027
2,15:42:44.18 -52:52:42.73,1.334,15 42 44.3084668266,-52 52 43.430511988,0.2384,0.2906,16.6467,0.0027
1,15:42:32.02 -52:51:05.44,1.266,15 42 32.1608779649,-52 51 05.602067393,0.4964,0.1129,17.4547,0.001
1,15:42:44.94 -52:53:34.80,1.14,15 42 45.0669907174,-52 53 35.026791810,0.6076,0.0396,15.3557,0.0004
1,15:42:21.02 -52:52:22.12,1.412,15 42 21.1740140453,-52 52 22.141577403,0.3609,0.0459,15.6757,0.0005
1,15:41:47.74 -52:54:31.62,1.122,15 41 47.8402307216,-52 54 32.278241092,0.5421,0.0471,16.0222,0.0006
2,15:41:47.74 -52:54:31.62,1.648,15 41 47.5708847795,-52 54 32.231484585,0.6992,0.2289,18.5594,0.0026
1,15:42:47.23 -52:44:50.14,1.002,15 42 47.3247496447,-52 44 50.786109471,0.5567,0.0731,16.5777,0.0007
1,15:42:12.73 -52:52:06.82,0.639,15 42 12.6817087527,-52 52 07.211075274,0.057,0.2677,18.7727,0.0026
2,15:42:12.73 -52:52:06.82,1.116,15 42 12.8666592845,-52 52 06.754897179,0.6045,0.0538,16.1346,0.0006
1,15:41:55.75 -52:50:43.11,1.281,15 41 55.8950769793,-52 50 43.146773484,0.5029,0.0375,15.4362,0.0004
2,15:41:55.75 -52:50:43.11,1.911,15 41 55.8334204416,-52 50 44.865165516,? ,? ,20.6357,0.0163
1,15:42:43.16 -52:49:51.75,1.222,15 42 43.2861653001,-52 49 52.211881710,1.05,0.0537,15.7439,0.0006
1,15:42:04.29 -52:51:29.84,1.231,15 42 04.4262852209,-52 51 30.120921279,0.5954,0.0594,16.2665,0.0006
1,15:42:05.78 -52:52:04.55,1.575,15 42 05.8960554107,-52 52 05.431300416,0.7909,0.0362,12.1453,0.0002
1,15:41:58.25 -52:52:13.50,0.739,15 41 58.3353763264,-52 52 13.687561278,0.5511,0.0508,16.1206,0.0005
1,15:42:18.40 -52:45:08.17,0.88,15 42 18.5023458206,-52 45 07.867133226,0.6355,0.1168,17.4874,0.001
1,15:42:30.20 -52:45:01.73,0.982,15 42 30.3000313731,-52 45 02.092076075,0.4683,0.096,17.0429,0.0008
1,15:41:43.90 -52:53:03.37,0.779,15 41 43.9726702949,-52 53 03.808349392,0.7621,0.0314,14.946,0.0003
1,15:42:43.88 -52:44:17.85,1.059,15 42 43.9997459539,-52 44 17.654649491,0.4785,0.0278,14.0249,0.0002
1,15:42:42.48 -52:44:02.49,0.768,15 42 42.5712145829,-52 44 02.466052512,0.5956,0.0284,14.0975,0.0002
1,15:42:04.21 -52:53:19.85,0.694,15 42 04.2856111917,-52 53 20.111297054,0.2133,0.0817,15.4763,0.0006
1,15:41:50.89 -52:51:45.54,1.182,15 41 51.0211932197,-52 51 45.489696472,0.5993,0.0459,15.8225,0.0004
1,15:42:47.66 -52:52:43.75,1.241,15 42 47.7974552254,-52 52 43.853195648,0.5364,0.0279,14.1482,0.0003
1,15:41:56.19 -52:51:47.04,1.589,15 41 56.3345151538,-52 51 47.598053759,1.2384,0.0859,17.2008,0.0008
1,15:41:48.31 -52:50:42.08,1.29,15 41 48.4562406433,-52 50 42.089412012,0.4406,0.1228,17.5985,0.0012
1,15:42:25.06 -52:53:03.88,1.952,15 42 25.2611925774,-52 53 04.646710184,0.6682,0.0493,15.8503,0.0006
1,15:42:41.96 -52:46:42.67,1.126,15 42 42.0830310557,-52 46 43.050127346,0.5995,0.0478,15.7403,0.0005
2,15:42:41.96 -52:46:42.67,1.638,15 42 42.0481043712,-52 46 44.100158880,? ,? ,19.9725,0.0107
1,15:42:02.10 -52:46:19.31,1.058,15 42 02.2116245470,-52 46 19.687686007,0.6927,0.0398,14.8082,0.0003
1,15:41:57.37 -52:48:06.74,1.127,15 41 57.4959293887,-52 48 06.842731383,0.4634,0.0595,16.2666,0.0007
1,15:42:07.87 -52:45:50.30,1.064,15 42 07.9585977011,-52 45 50.985329261,0.6136,0.0436,15.4361,0.0004
1,15:42:51.53 -52:48:34.49,0.919,15 42 51.6405636795,-52 48 34.674835589,0.5872,0.0306,14.5916,0.0003
2,15:42:51.53 -52:48:34.49,1.486,15 42 51.4363470215,-52 48 33.283602723,-0.068,0.1392,17.3862,0.0012
1,15:42:07.76 -52:45:47.17,1.539,15 42 07.8601133161,-52 45 45.891922525,0.7279,0.0486,15.6941,0.0005
1,15:42:49.35 -52:45:04.45,1.189,15 42 49.4885973267,-52 45 04.192999015,0.7548,0.0329,14.7122,0.0003
1,15:41:51.35 -52:54:05.83,1.521,15 41 51.5182254941,-52 54 06.148897621,0.5279,0.0223,13.7479,0.0002
1,15:41:55.35 -52:50:35.63,1.241,15 41 55.4857967183,-52 50 35.824097019,0.6215,0.1005,16.7047,0.0007
1,15:42:38.02 -52:53:25.42,1.088,15 42 38.1333578876,-52 53 25.902393842,0.572,0.0303,13.0491,0.0005
2,15:42:38.02 -52:53:25.42,1.52,15 42 38.0178808008,-52 53 26.939858928,? ,? ,17.5108,0.0082
1,15:41:44.59 -52:53:07.69,0.191,15 41 44.6382596607,-52 53 07.648271452,0.6155,0.0566,16.3397,0.0007
1,15:42:36.78 -52:45:58.08,0.793,15 42 36.8773111153,-52 45 57.972454926,0.421,0.0649,13.8976,0.0004
1,15:41:52.49 -52:47:26.68,0.945,15 41 52.5880474214,-52 47 26.953015414,0.6204,0.0403,15.5858,0.0004
1,15:41:44.30 -52:48:09.50,1.278,15 41 44.4461181186,-52 48 09.602527256,0.5794,0.022,13.5852,0.0002
1,15:41:50.49 -52:46:36.81,0.993,15 41 50.5907277343,-52 46 37.207235964,0.5047,0.0224,13.3037,0.0002
1,15:42:42.60 -52:52:46.42,1.186,15 42 42.7072863825,-52 52 47.155583816,0.6737,0.044,12.7881,0.0004
1,15:41:52.80 -52:47:17.67,0.518,15 41 52.8569369136,-52 47 17.627027244,? ,? ,14.5479,0.0023
1,15:42:29.37 -52:53:28.23,0.749,15 42 29.4547185178,-52 53 28.483571703,0.4176,0.0801,16.8244,0.0008
1,15:41:38.48 -52:50:26.81,1.461,15 41 38.6407661177,-52 50 26.824261060,0.5699,0.0585,14.785,0.0004
1,15:41:51.33 -52:47:09.50,1.039,15 41 51.2427042991,-52 47 08.854056124,0.6504,0.0918,17.2108,0.0008
1,15:41:55.77 -52:48:17.45,1.344,15 41 55.9162618677,-52 48 17.676834345,0.5315,0.0847,17.1159,0.0009
1,15:41:52.28 -52:47:55.32,0.868,15 41 52.3713548376,-52 47 55.577170860,? ,? ,16.8318,0.0012
2,15:41:52.28 -52:47:55.32,1.262,15 41 52.4006728669,-52 47 54.818537401,1.2412,0.1242,15.6154,0.0027
1,15:41:56.13 -52:47:25.10,0.992,15 41 56.2056071572,-52 47 25.798081008,0.625,0.1124,17.6593,0.0011
1,15:41:43.58 -52:45:34.95,1.101,15 41 43.6965105695,-52 45 35.162774975,0.5637,0.0805,16.7827,0.0008
1,15:41:44.15 -52:52:43.12,0.774,15 41 44.2442610071,-52 52 43.323835310,0.6919,0.033,15.0112,0.0003
1,15:42:44.09 -52:44:26.36,0.66,15 42 44.1803341892,-52 44 26.318914327,0.7243,0.0262,13.7265,0.0002
1,15:41:48.26 -52:53:18.62,1.738,15 41 48.4537906051,-52 53 18.518211491,0.7352,0.0482,16.0245,0.0006
1,15:42:05.56 -52:45:41.12,1.071,15 42 05.6852307499,-52 45 41.094954378,0.6345,0.0918,17.048,0.0008
1,15:42:46.51 -52:48:13.12,0.722,15 42 46.6077244453,-52 48 13.129439934,0.6413,0.0706,16.5112,0.0007
1,15:42:41.62 -52:52:49.87,1.156,15 42 41.7383742730,-52 52 50.354691427,0.5303,0.0343,14.8611,0.0003
1,15:41:50.29 -52:49:56.42,0.749,15 41 50.3597428695,-52 49 56.788407348,0.6626,0.028,14.5076,0.0002
1,15:41:51.05 -52:50:44.51,1.18,15 41 51.1712494242,-52 50 44.930529483,0.5607,0.0274,14.5701,0.0003
1,15:42:44.89 -52:54:01.09,0.97,15 42 45.0021842348,-52 54 01.517849938,0.8103,0.0696,16.6188,0.0007
1,15:42:44.15 -52:54:06.79,1.093,15 42 44.2474033039,-52 54 07.378541353,0.7989,0.053,15.8958,0.0005
1,15:42:21.71 -52:44:41.39,0.934,15 42 21.8125923313,-52 44 41.573929298,0.3623,0.1424,17.3572,0.0013
1,15:41:43.06 -52:52:30.81,1.482,15 41 43.1954673744,-52 52 31.641275640,? ,? ,15.5047,0.01
1,15:42:11.23 -52:44:49.56,1.132,15 42 11.3526088319,-52 44 49.809963355,1.1259,0.0455,15.4255,0.0008
1,15:42:03.61 -52:49:07.38,0.721,15 42 03.5410112136,-52 49 07.021099092,? ,? ,20.6939,0.0136
2,15:42:03.61 -52:49:07.38,0.841,15 42 03.7075136238,-52 49 07.517234372,0.9329,0.0878,17.0102,0.0009
1,15:42:08.10 -52:50:13.87,1.2,15 42 08.2202341725,-52 50 14.322597968,0.5029,0.0222,13.3956,0.0003
1,15:42:19.53 -52:47:06.97,1.03,15 42 19.6286913581,-52 47 07.561518795,0.6026,0.0593,16.1643,0.0006
1,15:41:46.43 -52:51:16.46,0.885,15 41 46.5176777306,-52 51 16.817482436,0.6241,0.032,15.0664,0.0003
1,15:42:25.32 -52:51:42.53,0.95,15 42 25.4167247698,-52 51 42.839009388,0.7254,0.0404,15.4461,0.0005
1,15:41:40.57 -52:48:29.92,1.01,15 41 40.5473824872,-52 48 30.855727711,1.8784,0.5187,19.59,0.0047
2,15:41:40.57 -52:48:29.92,1.26,15 41 40.7064502995,-52 48 29.617674252,0.901,0.0662,16.4831,0.0009
1,15:42:11.45 -52:53:09.09,1.428,15 42 11.6193845832,-52 53 08.797916906,0.5854,0.0252,14.2134,0.0002
1,15:42:32.03 -52:53:13.80,0.917,15 42 32.1232594231,-52 53 14.228154517,1.0968,0.3066,15.1409,0.0008
1,15:42:22.46 -52:51:15.31,1.159,15 42 22.5897402988,-52 51 15.474228729,0.9524,0.0307,14.2902,0.0003
1,15:41:59.65 -52:47:11.94,0.997,15 41 59.7626180131,-52 47 11.829852254,0.9035,0.0323,15.0928,0.0004
1,15:41:54.92 -52:46:25.55,1.101,15 41 55.0412454213,-52 46 25.736837786,0.7592,0.0317,15.0002,0.0003
1,15:41:49.74 -52:47:16.87,1.65,15 41 49.9138412661,-52 47 17.329113812,0.8136,0.1833,18.3667,0.0019
1,15:41:41.79 -52:47:39.12,0.801,15 41 41.8769066130,-52 47 39.032299412,0.4577,0.0694,16.7893,0.0007
1,15:41:40.16 -52:46:22.14,0.873,15 41 40.2508311086,-52 46 22.461829646,0.8167,0.0595,16.4434,0.0006
2,15:41:40.16 -52:46:22.14,1.231,15 41 40.0817212957,-52 46 21.193721169,0.2765,0.6646,20.1505,0.0066
1,15:41:50.97 -52:52:55.17,1.2,15 41 51.1102473418,-52 52 55.504227264,0.7026,0.0457,15.9601,0.0005
1,15:41:47.62 -52:47:31.15,0.649,15 41 47.7001438030,-52 47 31.337061113,0.4899,0.05,15.7246,0.0005
1,15:41:48.34 -52:52:39.81,1.195,15 41 48.4785589088,-52 52 39.996076492,0.6709,0.1243,17.3466,0.0012
1,15:41:57.98 -52:52:04.55,1.059,15 41 58.0880893527,-52 52 04.732629443,-0.2538,0.1302,16.254,0.0019
1,15:42:06.73 -52:50:53.88,0.715,15 42 06.8082160503,-52 50 53.864267312,0.5604,0.0733,16.7799,0.0008
1,15:42:18.22 -52:44:58.81,1.353,15 42 18.3612469235,-52 44 58.421956330,0.4467,0.0438,15.1028,0.0005
1,15:42:41.28 -52:46:30.05,1.185,15 42 41.4158969720,-52 46 30.196291134,0.5874,0.0803,16.8214,0.0007
1,15:42:02.48 -52:51:38.85,1.251,15 42 02.5870752538,-52 51 39.636044539,0.5258,0.0755,16.8535,0.0008
2,15:42:02.48 -52:51:38.85,1.856,15 42 02.2882320035,-52 51 39.535061632,1.925,1.058,20.523,0.0096
1,15:42:04.99 -52:51:55.67,1.198,15 42 05.1272909225,-52 51 55.599526537,0.7899,0.0857,17.0657,0.0009
1,15:42:05.47 -52:53:15.10,0.767,15 42 05.5756610188,-52 53 15.350125960,0.762,0.0405,15.6819,0.0005
1,15:42:27.91 -52:53:37.94,1.124,15 42 28.0317834220,-52 53 38.389411806,0.6847,0.0464,15.624,0.0005
1,15:42:34.37 -52:51:53.65,1.132,15 42 34.5021412511,-52 51 53.808470346,0.6173,0.0627,16.0222,0.0008
1,15:42:24.66 -52:53:18.64,1.09,15 42 24.7882769955,-52 53 18.629569132,0.5188,0.0323,14.7537,0.0003
1,15:41:59.57 -52:44:28.22,1.217,15 41 59.6882511060,-52 44 28.789282984,0.8572,0.1095,17.2329,0.001
1,15:41:59.67 -52:48:26.88,0.904,15 41 59.7746409957,-52 48 26.769975597,0.8183,0.1236,17.7536,0.0011
1,15:42:29.60 -52:46:32.72,0.746,15 42 29.6753817367,-52 46 33.028488698,1.1889,0.1122,17.2898,0.001
1,15:41:44.70 -52:47:57.22,0.913,15 41 44.8045532644,-52 47 57.154042075,0.5367,0.0353,15.3362,0.0004
1,15:42:26.84 -52:52:54.40,1.022,15 42 26.9581082548,-52 52 54.482283510,0.4981,0.032,14.7747,0.0003
1,15:41:39.28 -52:44:02.39,1.306,15 41 39.4201153632,-52 44 02.850823019,0.7959,0.07,16.4973,0.0008
1,15:42:04.87 -52:48:53.76,1.372,15 42 05.0141149649,-52 48 54.181562552,1.0364,0.0499,15.9786,0.0009
1,15:41:51.01 -52:44:45.80,0.63,15 41 51.0764593775,-52 44 45.906815218,0.72,0.0718,16.4447,0.0007
1,15:42:02.94 -52:48:51.02,0.956,15 42 02.9703615668,-52 48 50.019467538,0.5111,0.194,18.2414,0.0026
2,15:42:02.94 -52:48:51.02,1.077,15 42 03.0616220596,-52 48 51.375704675,0.3821,0.0681,16.7173,0.0009
1,15:41:58.41 -52:45:53.27,0.99,15 41 58.5204159489,-52 45 53.482274417,0.6923,0.107,17.1707,0.0011
1,15:42:52.59 -52:47:52.58,1.298,15 42 52.6892078595,-52 47 51.601772051,0.5312,0.0568,16.113,0.0006
1,15:41:57.00 -52:53:52.07,0.678,15 41 57.0675299468,-52 53 52.390786053,0.5241,0.0391,15.5782,0.0004
1,15:41:38.98 -52:46:15.39,1.232,15 41 39.1056725004,-52 46 16.029706307,0.4845,0.0301,14.6886,0.0003
1,15:42:39.19 -52:54:36.30,0.956,15 42 39.2919929291,-52 54 36.644332550,0.8484,0.0805,16.8416,0.0007
1,15:41:39.33 -52:53:38.87,0.868,15 41 39.4199242763,-52 53 39.143042219,0.5738,0.0511,16.2105,0.0006
1,15:41:51.12 -52:52:30.09,0.808,15 41 51.2101040878,-52 52 30.275802125,1.068,0.0262,14.3797,0.0003
1,15:42:44.25 -52:49:37.05,0.909,15 42 44.3505695183,-52 49 37.321026029,0.7894,0.045,15.287,0.0004
2,15:42:44.25 -52:49:37.05,1.658,15 42 44.3587878044,-52 49 35.645072494,-0.0177,0.4186,18.708,0.0039
1,15:42:43.26 -52:54:47.71,1.256,15 42 43.3955506748,-52 54 48.057062597,1.0264,0.0984,17.2459,0.001
1,15:41:48.26 -52:53:18.62,1.738,15 41 48.4537906051,-52 53 18.518211491,0.7352,0.0482,16.0245,0.0006
1,15:42:49.89 -52:46:14.63,0.471,15 42 49.9524661723,-52 46 14.246209682,0.8371,0.0894,16.938,0.0013
2,15:42:49.89 -52:46:14.63,1.951,15 42 50.0959165857,-52 46 15.389118283,0.316,0.1382,15.9201,0.001
1,15:41:56.22 -52:46:57.93,0.816,15 41 56.3143018617,-52 46 57.793721722,0.5784,0.0425,15.7487,0.0005
1,15:42:28.48 -52:44:12.49,0.236,15 42 28.4667424392,-52 44 12.287605128,? ,? ,20.4145,0.0129
2,15:42:28.48 -52:44:12.49,0.975,15 42 28.5900683866,-52 44 12.627377331,0.3002,0.0582,15.769,0.0006
1,15:41:46.64 -52:53:24.45,0.685,15 41 46.7241822704,-52 53 24.457226979,0.6438,0.0645,16.6015,0.0007
1,15:42:02.80 -52:53:54.11,1.212,15 42 02.9421388043,-52 53 54.357052739,-0.2205,0.7498,12.3071,0.0003
1,15:42:00.66 -52:51:30.68,1.05,15 42 00.7809340431,-52 51 30.937572863,0.7438,0.0664,16.5824,0.0006
2,15:42:00.66 -52:51:30.68,1.691,15 42 00.4871036911,-52 51 29.954694247,2.3133,0.8893,20.2838,0.0075
1,15:42:14.21 -52:53:44.19,1.797,15 42 14.0839183844,-52 53 42.799196625,0.4585,0.0629,15.9789,0.0006
1,15:42:09.98 -52:45:18.71,1.204,15 42 10.1115495731,-52 45 18.997141161,0.4014,0.0902,17.0424,0.0009
1,15:41:55.58 -52:47:34.32,0.758,15 41 55.6590353566,-52 47 34.606230557,0.9323,0.0424,15.7195,0.0008
1,15:41:41.62 -52:49:08.23,0.822,15 41 41.7139729518,-52 49 08.188967025,0.5573,0.0502,16.0244,0.0006
1,15:41:45.87 -52:49:12.92,1.297,15 41 46.0136064306,-52 49 13.112359682,0.4496,0.0405,15.5569,0.0005
1,15:42:29.54 -52:45:22.72,1.1,15 42 29.6616384346,-52 45 22.811258952,0.6362,0.0571,16.1538,0.0006
1,15:42:09.25 -52:53:07.44,0.905,15 42 09.3314727181,-52 53 07.910416884,0.5909,0.0435,15.626,0.0005
1,15:42:15.12 -52:53:08.41,0.824,15 42 15.2132219153,-52 53 08.518883125,1.0262,0.0351,11.6479,0.0003
1,15:42:08.63 -52:50:22.41,1.138,15 42 08.7537920327,-52 50 22.778469724,0.8849,0.0335,15.0491,0.0003
1,15:42:06.38 -52:54:16.99,1.483,15 42 06.5447750031,-52 54 16.463127639,1.8279,0.0431,15.6304,0.0017
1,15:42:22.59 -52:54:35.86,0.852,15 42 22.6796540803,-52 54 36.157545986,0.5866,0.0294,14.6309,0.0003
1,15:42:29.46 -52:50:49.27,0.776,15 42 29.5486633540,-52 50 49.163483361,0.604,0.0422,15.3357,0.0004
1,15:42:38.02 -52:52:17.65,1.309,15 42 38.1624343435,-52 52 17.933422810,0.9846,0.0344,14.7782,0.0004
1,15:42:33.50 -52:44:30.69,0.732,15 42 33.5798212998,-52 44 30.776857040,0.8617,0.1521,16.0226,0.0013
1,15:42:18.43 -52:52:52.57,1.962,15 42 18.3973173093,-52 52 50.563133989,0.2935,0.0947,15.7097,0.0008
1,15:42:04.00 -52:54:48.69,0.815,15 42 04.0508424546,-52 54 49.374389127,0.6067,0.0742,16.1327,0.0007
2,15:42:04.00 -52:54:48.69,1.511,15 42 04.1698368800,-52 54 48.563575905,-2.1922,0.301,15.8145,0.0023
1,15:42:43.70 -52:47:19.62,1.457,15 42 43.8300260684,-52 47 19.593576622,12.0524,0.0726,15.8085,0.0007
1,15:42:39.71 -52:54:11.41,1.195,15 42 39.8497290115,-52 54 11.347166465,0.4318,0.0609,16.2167,0.0007
1,15:42:33.11 -52:52:42.94,1.349,15 42 33.2431781594,-52 52 43.576145701,0.0801,0.127,17.0068,0.0009
1,15:41:59.07 -52:54:53.02,1.273,15 41 59.2158083745,-52 54 53.121306962,0.3294,0.0849,15.9169,0.0007
1,15:41:53.35 -52:51:48.70,0.709,15 41 53.4206380402,-52 51 48.335536390,0.0997,0.0938,16.7838,0.0008
2,15:41:53.35 -52:51:48.70,1.924,15 41 53.5622017584,-52 51 48.792615948,? ,? ,20.3893,0.0143
1,15:41:43.16 -52:52:22.76,0.91,15 41 43.2401895451,-52 52 23.240210750,0.9948,0.0339,15.0211,0.0003
1,15:42:10.45 -52:49:36.59,0.474,15 42 10.5140926779,-52 49 36.440379649,0.6331,0.0604,16.3432,0.0007
1,15:41:40.73 -52:47:20.53,0.795,15 41 40.8120184000,-52 47 20.924003661,0.5422,0.0339,15.2724,0.0004
1,15:42:19.34 -52:54:36.09,1.267,15 42 19.4726288208,-52 54 36.423540460,1.0555,0.0464,15.78,0.0006
1,15:41:40.85 -52:50:45.91,0.393,15 41 40.8962131364,-52 50 45.894686485,0.9333,0.0352,12.2281,0.0003
1,15:42:06.38 -52:54:16.99,1.483,15 42 06.5447750031,-52 54 16.463127639,1.8279,0.0431,15.6304,0.0017
1,15:41:54.86 -52:47:45.44,1.131,15 41 54.9863834542,-52 47 45.647144693,0.8559,0.0633,16.5693,0.0006
1,15:42:47.44 -52:54:14.00,1.287,15 42 47.5613713179,-52 54 14.835183218,0.9254,0.0813,16.8046,0.0007
1,15:41:46.95 -52:52:19.97,0.718,15 41 47.0261185227,-52 52 20.251284100,0.6815,0.0558,16.3854,0.0008
1,15:41:51.28 -52:49:18.88,0.723,15 41 51.3542302943,-52 49 19.205993159,1.0213,0.0319,15.0753,0.0003
1,15:41:41.16 -52:47:23.99,1.806,15 41 41.3471159612,-52 47 24.385230449,0.5955,0.0582,16.4761,0.0006
1,15:41:53.84 -52:43:42.64,1.14,15 41 53.9756498978,-52 43 42.467260536,0.7864,0.0422,15.2868,0.0005
1,15:42:18.85 -52:45:40.88,1.272,15 42 18.9956648521,-52 45 41.167652849,0.4983,0.0834,16.9454,0.0008
1,15:41:44.93 -52:49:23.92,0.882,15 41 45.0282645292,-52 49 24.058365890,0.4774,0.0537,16.2828,0.0006
1,15:42:04.02 -52:45:51.12,0.981,15 42 04.0488240100,-52 45 49.935870569,1.2849,0.0297,14.0688,0.0002
1,15:41:51.48 -52:47:12.15,1.025,15 41 51.6035646853,-52 47 12.442470927,0.6418,0.0748,16.7312,0.0008
1,15:42:48.76 -52:46:55.96,1.151,15 42 48.8901157175,-52 46 56.097564941,1.1018,0.0611,16.2965,0.0018
1,15:41:49.67 -52:46:45.24,0.872,15 41 49.7540123936,-52 46 45.463105791,0.5573,0.0465,15.6499,0.0005
1,15:41:56.10 -52:45:36.60,0.859,15 41 56.1700346232,-52 45 37.177843392,? ,? ,15.8932,0.0027
2,15:41:56.10 -52:45:36.60,1.598,15 41 55.9256128704,-52 45 36.815357700,? ,? ,20.8542,0.0228
1,15:41:48.39 -52:47:47.66,0.741,15 41 48.4729524714,-52 47 47.595002028,0.9245,0.0465,15.8287,0.0005
1,15:42:48.27 -52:49:47.39,0.988,15 42 48.3565137558,-52 49 47.845329784,2.6185,0.0441,14.9832,0.0005
1,15:42:04.07 -52:45:51.45,1.343,15 42 04.0488240100,-52 45 49.935870569,1.2849,0.0297,14.0688,0.0002
2,15:42:04.07 -52:45:51.45,1.774,15 42 04.1435821219,-52 45 53.049807951,0.8009,0.037,14.8841,0.0005
1,15:41:44.10 -52:50:10.70,0.018,15 41 44.0980550592,-52 50 10.697081604,? ,? ,20.2647,0.0086
2,15:41:44.10 -52:50:10.70,1.007,15 41 44.1972430327,-52 50 11.155670344,0.8091,0.0836,17.0551,0.0008
1,15:41:59.07 -52:52:27.05,1.08,15 41 59.1996840942,-52 52 26.936151121,1.3323,0.0277,14.6402,0.0003
1,15:42:09.62 -52:52:47.03,1.153,15 42 09.6372126630,-52 52 48.101462104,1.2214,0.0451,10.9548,0.0005
1,15:42:18.48 -52:46:54.72,1.065,15 42 18.5735915657,-52 46 55.062743388,1.5589,0.0499,15.8904,0.0005
1,15:42:30.83 -52:52:14.26,1.428,15 42 30.9918294029,-52 52 14.633226092,0.5939,0.0591,16.2403,0.0006
1,15:41:45.13 -52:49:02.03,1.091,15 41 45.2259553355,-52 49 02.549500693,0.8219,0.0412,15.3693,0.0004
1,15:42:04.47 -52:45:10.81,0.505,15 42 04.5386996727,-52 45 10.805980750,1.6812,0.029,13.9756,0.0003
1,15:41:59.99 -52:53:45.38,0.938,15 42 00.0818200691,-52 53 45.654584396,1.7209,0.023,13.8217,0.0002
1,15:42:08.16 -52:52:59.84,1.129,15 42 08.2850380922,-52 53 00.170208027,1.2587,0.039,15.0824,0.0008
1,15:41:39.13 -52:48:12.11,1.812,15 41 39.1010932729,-52 48 13.165165719,4.207,0.0348,11.4832,0.0003
1,15:42:43.26 -52:45:41.95,0.707,15 42 43.3456306440,-52 45 41.876386892,1.3416,0.0407,11.8129,0.0003
1,15:42:06.35 -52:44:46.91,0.821,15 42 06.4340523535,-52 44 47.259692712,1.594,0.0424,15.1586,0.0005
1,15:41:47.54 -52:43:48.41,0.539,15 41 47.6105140993,-52 43 48.444429138,2.1763,0.0277,13.3079,0.0002
1,15:42:32.82 -52:47:47.29,1.296,15 42 32.9551690677,-52 47 47.067316860,1.1885,0.0286,14.1695,0.0002
1,15:41:56.34 -52:48:00.50,0.833,15 41 56.4442149492,-52 48 00.717642128,2.9043,0.036,12.2916,0.0002
1,15:42:27.21 -52:54:24.35,1.339,15 42 27.2980547014,-52 54 23.090587804,0.2555,0.4962,19.4252,0.0059
2,15:42:27.21 -52:54:24.35,1.423,15 42 27.3483504762,-52 54 24.842412374,1.1717,0.0331,15.0934,0.0003
1,15:42:49.30 -52:53:29.41,1.247,15 42 49.4147722886,-52 53 29.918823498,1.4745,0.025,13.7598,0.0002
