Full,_1,_r,_RAJ2000,_DEJ2000,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag
,,arcsec,"""h:m:s""","""d:m:s""",mag,mag,mag,mag,mag,mag
1,15 41 51.1102473418 -52 52 55.504227264,0.166,15 41 51.10008,-52 52 55.3656,13.113,0.077,13.13,0.082,10.213,
1,15 41 53.7894254753 -52 50 00.099387644,0.11,15 41 53.79696,-52 50 00.1860,15.578,0.072,15.081,0.087,15.265,
1,15 42 02.2116245470 -52 46 19.687686007,0.125,15 42 02.20584,-52 46 19.8012,13.199,0.03,12.91,0.03,12.75,0.034
1,15 41 58.5204159489 -52 45 53.482274417,0.239,15 41 58.54008,-52 45 53.3232,15.087,0.097,14.136,0.165,14.114,0.143
1,15 41 44.2442610071 -52 52 43.323835310,0.278,15 41 44.27232,-52 52 43.2120,13.384,0.035,12.988,0.05,12.772,0.045
1,15 41 57.6880055700 -52 48 28.923989324,0.091,15 41 57.69648,-52 48 28.9728,15.361,0.1,14.813,0.122,13.681,
1,15 42 40.6144390901 -52 49 57.572921838,0.664,15 42 40.68768,-52 49 57.5796,13.007,0.031,12.192,0.035,11.633,0.03
1,15 42 28.0317834220 -52 53 38.389411806,0.043,15 42 28.03344,-52 53 38.3496,13.753,0.032,13.359,0.039,13.223,0.049
1,15 41 47.0261185227 -52 52 20.251284100,0.1,15 41 47.02848,-52 52 20.1540,14.853,0.045,14.442,0.061,14.135,0.072
1,15 42 42.7072863825 -52 52 47.155583816,0.204,15 42 42.70584,-52 52 47.3592,10.118,0.023,9.319,0.026,9.013,0.023
1,15 42 29.0898291581 -52 46 11.826339203,0.082,15 42 29.08776,-52 46 11.9064,14.461,0.049,13.836,0.077,13.676,0.05
1,15 41 48.4785589088 -52 52 39.996076492,0.54,15 41 48.53808,-52 52 39.9684,14.365,0.046,13.305,0.051,12.857,0.046
1,15 42 25.2611925774 -52 53 04.646710184,1.805,15 42 25.10928,-52 53 05.8164,13.167,0.03,12.387,0.03,12.006,0.032
1,15 41 50.3597428695 -52 49 56.788407348,0.142,15 41 50.37216,-52 49 56.7012,13.017,0.032,12.707,0.041,12.598,0.046
1,15 42 16.3307549993 -52 50 12.736287069,0.127,15 42 16.33536,-52 50 12.6168,14.962,0.054,14.348,0.069,14.114,0.082
1,15 42 06.0254831213 -52 49 21.965224523,0.038,15 42 06.02424,-52 49 21.9288,15.722,0.084,15.345,0.112,15.595,
1,15 41 51.2427042991 -52 47 08.854056124,0.176,15 41 51.24912,-52 47 09.0204,15.365,0.059,15.12,0.099,14.683,
1,15 41 46.7241822704 -52 53 24.457226979,0.172,15 41 46.74120,-52 53 24.3816,14.865,0.064,14.407,0.074,14.201,0.108
1,15 41 51.6035646853 -52 47 12.442470927,0.574,15 41 51.65328,-52 47 12.7968,14.615,0.046,13.985,0.051,13.534,
1,15 42 46.6077244453 -52 48 13.129439934,0.114,15 42 46.60368,-52 48 13.2372,14.713,0.051,14.24,0.07,14.018,0.081
1,15 42 29.6616384346 -52 45 22.811258952,0.002,15 42 29.66184,-52 45 22.8096,13.95,0.043,13.451,0.06,13.253,0.064
1,15 42 18.5023458206 -52 45 07.867133226,0.028,15 42 18.49992,-52 45 07.8840,15.328,0.079,14.263,,13.878,
1,15 42 10.5140926779 -52 49 36.440379649,0.058,15 42 10.52016,-52 49 36.4584,14.303,0.032,13.811,0.037,13.615,0.04
1,15 41 46.5176777306 -52 51 16.817482436,0.163,15 41 46.53096,-52 51 16.7076,13.489,0.028,13.038,0.026,12.966,0.033
1,15 41 55.4857967183 -52 50 35.824097019,1.012,15 41 55.45560,-52 50 36.7980,14.48,0.06,13.726,0.064,13.537,0.059
1,15 41 52.5880474214 -52 47 26.953015414,0.087,15 41 52.59000,-52 47 27.0384,13.814,0.049,13.326,0.033,13.214,0.039
1,15 41 44.0659060108 -52 47 25.999455638,0.263,15 41 44.08656,-52 47 25.8144,15.837,0.094,14.931,0.093,14.562,0.094
1,15 42 34.5021412511 -52 51 53.808470346,0.063,15 42 34.50096,-52 51 53.8704,13.434,0.029,12.693,0.039,12.44,0.03
1,15 41 44.6382596607 -52 53 07.648271452,0.527,15 41 44.69280,-52 53 07.8324,14.228,0.048,13.793,0.06,13.737,0.074
1,15 41 44.6382596607 -52 53 07.648271452,0.527,15 41 44.69280,-52 53 07.8324,14.228,0.048,13.793,0.06,13.737,0.074
1,15 42 38.9000874005 -52 50 07.218903965,0.015,15 42 38.89920,-52 50 07.2312,12.887,0.025,12.437,0.025,12.171,0.02
1,15 42 39.1300291095 -52 49 57.293703343,0.052,15 42 39.13080,-52 49 57.3456,13.208,0.032,12.79,0.036,12.524,0.032
1,15 42 45.0669907174 -52 53 35.026791810,0.073,15 42 45.06432,-52 53 35.0952,13.455,0.028,13.029,0.031,12.884,0.035
1,15 42 04.0508424546 -52 54 49.374389127,0.775,15 42 04.11936,-52 54 48.9096,13.527,0.035,13.12,0.043,13.019,0.048
1,15 42 28.2179000319 -52 43 48.709217967,0.018,15 42 28.21800,-52 43 48.7272,15.41,0.061,15.178,0.107,14.84,0.122
1,15 42 29.5486633540 -52 50 49.163483361,0.108,15 42 29.55672,-52 50 49.2432,13.159,0.027,12.725,0.033,12.457,0.032
1,15 42 19.6286913581 -52 47 07.561518795,0.194,15 42 19.63632,-52 47 07.7424,13.797,0.033,13.233,0.039,13.066,0.043
1,15 42 22.9536512224 -52 52 39.325715163,0.041,15 42 22.95360,-52 52 39.2844,13.267,0.071,12.55,0.044,12.309,0.046
1,15 42 42.0830310557 -52 46 43.050127346,0.422,15 42 42.06816,-52 46 43.4496,13.755,0.04,13.149,0.046,12.901,0.049
1,15 41 51.0211932197 -52 51 45.489696472,0.078,15 41 51.02736,-52 51 45.4356,14.211,,13.904,0.05,13.893,0.073
1,15 41 59.3667651903 -52 48 37.002992873,0.127,15 41 59.36664,-52 48 37.1304,11.998,0.025,11.655,0.033,11.544,0.035
1,15 41 59.3667651903 -52 48 37.002992873,0.127,15 41 59.36664,-52 48 37.1304,11.998,0.025,11.655,0.033,11.544,0.035
1,15 42 25.3619432917 -52 44 02.686560743,0.087,15 42 25.35408,-52 44 02.6376,8.059,0.02,6.98,0.02,6.613,0.027
1,15 42 42.5712145829 -52 44 02.466052512,0.052,15 42 42.56928,-52 44 02.5152,12.537,0.032,12.215,0.036,12.014,0.037
1,15 41 41.3471159612 -52 47 24.385230449,0.075,15 41 41.35128,-52 47 24.3204,14.753,0.053,14.428,0.092,14.278,0.093
1,15 42 04.4262852209 -52 51 30.120921279,0.078,15 42 04.43208,-52 51 30.1788,14.373,0.046,13.796,0.193,13.792,0.093
1,15 42 30.9918294029 -52 52 14.633226092,0.096,15 42 30.99192,-52 52 14.7288,14.316,0.036,13.847,0.033,13.612,0.036
